Unnamed: 0,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound,review_length
15,"Aaron ""Aaron""",5.0,i bought this to use with my go pro hero  black edition it requires a class  microsdxc card so far i ve had no issues with it fast read write came with adapter small packaging but that s all it needed comes with a nice hard plastic case to keep both dry and together if needed,,616,0,0,0,0,0.0,0.0,276
16,Aaron Alvarez,5.0,got this because i had a  gb one that filled up i kept getting the insufficient disk space on my phone my kids take my phone and do selfies mostly my daughter i had to get a bigger card the gb one was a carry over from an old phone needless to say this was sweet plenty of space and i dont have to delete pictures anymore well for now at least my daughter loves selfies,,308,0,0,0,0,0.0,0.0,369
17,Aaron F. Virginie,5.0,class  speed rating for seamless full hd videothe sandisk ultra uhs i card features a class  and uhs speed class  u rating the highest video performance available for recording uninterrupted full hd video flawless app performancethis card can retrieve stored data almost instantly thanks to its up to mb s read capability and fast bus interface the sandisk ultra microsdhc and microsdxc uhs i cards offer faster app loading and smoother more fluid app performance storage capacities up to gbthis card has plenty of room to accommodate full hd videos mps apps and other memory intensive mobile files available in sizes up to gb it can store all the apps music and video you want android app for easy file managementthe included sandisk memory zone app lets you easily view access and backup all of your digital files from your phone s memory additional memory card and cloud service all in one convenient place using the app you can easily move files from your card to a number of cloud storage services durable designsandisk ultra uhs i memory cards can capture memories from  to  degrees fahrenheit with a shockproof waterproof and x ray proof design your mobile device may not survive but your sandisk memory card will,,610,0,1,1,-1,0.0,0.0,1220
18,Aaron Graves,5.0,the read and write speeds are better than the samsung sd card that i had previously i would not hesitate to buy another one of these great micro sd cards from sandisk i also own their clip plus mp player and it works very well i think i m becoming a fan of the sandisk products,,306,0,0,0,0,0.0,0.0,277
19,Aaron,5.0,this works with the nl no video stuttering like with the gb blah blah blah blah to fill in the rest,,160,0,0,0,0,0.0,0.0,99
20,Aaron,5.0,works as expected high transfer speed nice to have extra microsd adapters lying around since i always seem to misplace them mainly bought it to use in my nikon dslr since i can put the card directly into my cm modded nook hd tablet in the field and view my images on a larger screen,,407,0,0,0,0,0.0,0.0,282
21,Aaron,5.0,works great in a samsung galaxy s formatted straight away full size there i can t really tell the speed difference between this one and a slower card it replaced i guess the io in the phone can t take advantage,,344,0,0,0,0,0.0,0.0,210
22,Aaron Madden,5.0,sandisk never disappoints as always sandisk products are worth every penny nice product and quality and works great i recommend this product to everyone,,576,0,0,0,0,0.0,0.0,152
23,aaron mckaig,5.0,good price works flawless in my samsung s normal sandisk quality that is why i go with this brand and only this brand,,248,0,0,0,0,0.0,0.0,117
24,Aaron Nash,5.0,san disk is hard to beat you will pay more for the brand but you get a quality product would purchase again,,260,0,0,0,0,0.0,0.0,107
25,Aaron Smith,5.0,installed in my blackberry q sqn  and formatted works just fine plenty of storage space for pictures and videos of my son at the park,,314,0,0,0,0,0.0,0.0,133
26,Aaron T. Swain,5.0,i just received my card it is the class  gb with the correct serial sdsdqua g aa i received it in an unopened sandisk packaging i am going to use it on my htc rezound i hope it works from what i have read it will work after reformatting the disk i will update this review if i have any issues using it if not my rating will remain unchanged,,865,1,1,2,0,0.5,0.0945312057342307,340
27,A. Atkinson,5.0,stuck it in my s formatted in settings works great already filled with music pics and videos get this card format it right and you ll have no problems if your phone won t do it right should have got a samsung haha,,747,0,0,0,0,0.0,0.0,213
28,ABailey8833,5.0,i purchased two of these one for my samsung tablet and one for my samsung galaxy note great hardware that is truly speedy responsive and meets my needs,,710,1,0,1,1,1.0,0.2065493143772374,151
29,abbadon,5.0,as advertised specs match as long as the device you as using it in can handle it i e usb   not some crapple bs it delivers the advertised speed p s the speed is read not write but you knew that right,,409,0,0,0,0,0.0,0.0,199
30,ABC317,5.0,this item is great i can t believe how small it is imagine gb this size back in the  s when they had whole buildings full of computers that couldn t pack this much space great item,,418,0,0,0,0,0.0,0.0,180
31,Abdul Purnell Askew SR,5.0,i ve been trying for a while to get a hold of a gb micro sd for my phone and tablet it s pretty fast compared to the gb cards i ve been using i really saw the performance boost with my phone which i have many apps pictures music and other documents on the phone boots fully stable in about  mins as apposed to   mins my computer also can write to these cards much faster than the gb ones i was using if you phone tablet or any other device can support it i recommend you purchase these also you pay like half the price using amazon as opposed to other retail stores who s price is at least double or more i ve seen these same cards going for about  in my area,,602,0,0,0,0,0.0,0.0,659
32,"Abdulrahman J. Alrashed ""dr34m3r""",1.0,i bought  of those sandisk  gb microsd used them on my galaxy note and galaxy sfirst one my phone started saying it was removed then recognize it again then diedi thought it s just a luck plugged in the nd one stayed for about  months and died suddenly and lost everythingnever buying from sandisk again ever,,640,0,0,0,0,0.0,0.0,308
33,"Abel Feliciano ""Ace Master""",4.0,the memory card is an excellent condition and work as described dependable and easy to use an excellent choice for the enthusiast who requires more storage,,759,0,0,0,0,0.0,0.0,155
34,A. Bell,5.0,i ve got a couple of these in varying sizes i ve had no problems and no complaints about speed i always end up buying more because the prices are so low for what you get,,477,0,0,0,0,0.0,0.0,169
35,A. Berrios,5.0,i only had  gigs of memory on my note  and was running out of room now i have so much memory space available i don t know what to do with it,,64,0,0,0,0,0.0,0.0,140
36,Abe The Babe,5.0,bought it for my surface pro i ve had it in there for a few months and i ve had no problems very fast and stable,,496,0,0,0,0,0.0,0.0,112
37,Abhi gautam,5.0,i would recommend this card to everyone data transfer speeds excellent with this card on my galaxy s didn t need to format the card or anything i am  satisfied,,881,1,0,1,1,1.0,0.2065493143772374,159
38,Abraham Arturo Meza Marin,1.0,i bougth this micro sd card after some trubles with other that i got from kingston i can tell that sandisk is other quality this is the best my i phone can read a gb very fast the dta transfer speed from my pc to my is amazing if you are looking for additional storage to you phone for music pictures and other type of files this is for you pros very good quality materials of construction amazing speedupdate after one year this memory is damaged i can not delete or put new files on it i can not format this memory i tried to format with my phone with my pc with a camera and nothing now this is like a gb cd the data in the memory is only available to read but i can not move or delete it i bought this memory to be used to backup all my data of my android device but now is only a readable memory i can not write data on it any more i hope sandisk make a better products in the future total disagree i will buy a samsung memory card expected a better quality,,657,0,0,0,0,0.0,0.0,962
39,Abraham,5.0,using this in a contout gps camera don t waste your time buying any other brand it will be a waste buy the best to start with,,365,0,0,0,0,0.0,0.0,125
40,"Abraham Kovler ""ripvanlink""",5.0,this is a fantastic little drive has all the gigabytes it says works in all ways i can discern and i use it to hold the flac recordings i play on my excellent fiio x digital audio player this is the real thing and not one of the fakes that evidently are out there,,92,0,0,0,0,0.0,0.0,263
41,Abram Vargas,5.0,i am very happy with this micro sd i could tell the difference in the response time in my bb curve as well as my asus tablet if you want something that can transfer files photos videos and music faster this is the micro sd card for you now i will say this there are faster cards out there but not at this price this does the trick for my devices now it you are a professional photographer you might want to go with the ultra  micro sd but if you are an everyday user this will work wonders for you device,,847,0,0,0,0,0.0,0.0,504
42,A. Brattoli,5.0,i ve purchased several of these little babies over the years and i always buy sandisk i ve never had one fail the price is great for the amount of storage you get,,66,0,0,0,0,0.0,0.0,162
43,"Abused Commuter ""abused_commuter""",1.0,ordered this for a galaxy s lasted a few months and then broke is not accessible on several different pc s says limited lifetime warranty bs you have one month for eco zone not only did i lose pictures but now i am out because of a crappy return policy in the future i will be buying kingston not sandisk update amazon customer service made good and refunded my purchase price i still will not be buying any more sandisk memory cards however,,506,0,1,1,-1,0.0,0.0,441
44,abushaheed,4.0,more like mb s in my note   and that s using sandisk s own app a bit faster in my note ii but still a disappointment for devices with quad core processors not sure if it s the card or the device so benefit of the doubt and four stars,,555,0,0,0,0,0.0,0.0,233
45,"A. Bystricky ""Tony B.""",5.0,not much to say other than plug and play good quality and fits a lot of video good good good,,294,0,0,0,0,0.0,0.0,92
46,AC500Driver,5.0,a new camcorder required fast sd micro and sandisk products have always provided first class service so the extra cost is well worth it,,279,0,0,0,0,0.0,0.0,135
47,"A. Carr ""game hater""",5.0,this tiny marvel does what it claims the only possible problem is that it is so small that you may lose it if you happen to drop it during handling but with  gb capacity you won t be handling it often,,223,0,0,0,0,0.0,0.0,200
48,acballer,5.0,it does the job and the price was right it came quickly so i m very happy for the purchase i would recommend it and would but it again,,323,0,0,0,0,0.0,0.0,134
49,Ace of Sevens,2.0,i used this for a few months in my phone then it decided to quit mounting i lost some pictures of pets who died shortly after i got a replacement card but i had to send in the old one giving up any chance of recovering its contents the new one s worked fine but failing after  months in inexcusable,,311,0,0,0,0,0.0,0.0,298
50,ac,5.0,a memory card either works or it doesn t this was always going to be a one star or five star review no middle ground the adapter is a nice bonus too though i don t think i have anything to use it with,,505,0,0,0,0,0.0,0.0,200
51,AC,5.0,i purchased this card to use in my contourroam and it works great all i had to do was put the card in the camera format it and i was good to go it allows me to easily record hours of p fps video without running out of space or slowing down,,693,0,0,0,0,0.0,0.0,239
52,A. Chock,5.0,upgraded from gb to gb card for my galaxy note phone looks like it works fine and has full capacity good product,,710,0,0,0,0,0.0,0.0,112
53,A. Cho,4.0,everything about it was great except for the adapter it was to tight i had to use a tool to take it back out of the adapter causing me to chip it so my fault i guess but i also bought a gb version and the adapter for that one was fine,,427,0,0,0,0,0.0,0.0,234
54,a_compulsive_reader,5.0,liked the first one i purchased so much i bought a second one very very fast read and write speeds at a good price plus sandisk has the best software and device compatibility forget thumb drives this is your most flexible durable option use direct in your tablet or smart phone and or buy a decent usb card reader you can load this in and voila instant super speedy upgradeable thumb drive works great in my tablet and in my newer card reader and still kicks the butt of every thumb drive i know of even when used with my old plastic usb   card reader held together with scotch tape lol have purchased several microsd cards since they first came out from gb to gb and all still work fine i cannot say the same re the thumb drives i purchased during that same time period one point beware of counterfeits samsung is the number one brand so unfortunately they get counterfeited a lot so check reviews and only buy from a reliable seller i suggest buying direct from amazon or memory mogul i have purchased from both with no issues,,380,0,0,0,0,0.0,0.0,1028
55,acondie13,5.0,really you can t say anything bad about it does what it says super fast and great storage size for lots of movies and such,,267,0,0,0,0,0.0,0.0,122
56,ACZ,4.0,used in my phone it s plenty fast and works just like it should unexpectedly comes with mini and full sd card size adapters which is nice  fool proof  packaging or whatever it was that was laughable packaging was decent it just shouldn t have bragged about being impossible to mess up when i messed it up,,576,0,0,0,0,0.0,0.0,304
57,adam,5.0,this is just the standard micro sd card i would recommend this to anyone i purchased this for my dad who is using it to expand the memory on his tablet it shipped fast and is a slight bit cheaper than in the stores i believe,,129,0,0,0,0,0.0,0.0,224
58,Adam J. Hanson,5.0,i ordered this for my new samsung galaxy note ii and it works awesome installed it and had no problems i loaded all my music on it and didn t even scratch the surface of the capacity of this card i shouldn t ever have to worry about running outta room with this card highly recommended for any smartphone user,,680,0,0,0,0,0.0,0.0,309
59,"Adam J. Lomprey ""lompreya""",5.0,great deal and much faster file movement definitely worth the purchase and sandisk has proved why they have good products,,468,0,0,0,0,0.0,0.0,121
60,Adam M Barnes,5.0,you ll pay  more for these anywhere else i was initially leery of buying another sd card on amazon  years ago i did so and the card was a fake said it had  gigs when plugged into the computer but you could only load about  onto it and it would say  full  apparently there s a way to fool your computer into thinking there s more space than there is and this is what the fake counterfeit cards will do not so with this one it s the real deal genuine sandisk and contains as many gb as it says it does i m a very pleased customer,,6,0,0,0,0,0.0,0.0,527
61,Adam M.,5.0,use this in my samsung galaxy s have had it for almost a year now no problems really expands your memory capabilities easy enough to install,,148,0,0,0,0,0.0,0.0,140
62,adam smith,5.0,gb of storage for my new asus tablet what s not to love i can t imagine paying more for the model with the upgraded storage especially since it s usually like  more this thing was cheap and works great,,377,0,0,0,0,0.0,0.0,201
63,"Adam Sorenson ""Adam""",5.0,excellent quality excellent speed no complaints here very easy to use reliable and the red stripe on the front makes it easy to find on a crowded desk,,361,0,0,0,0,0.0,0.0,150
64,"Adam Wright ""Electrical Engineer""",3.0,this card advertises itself as uhs but it s actually uhs this means that it will not go up to sdr speeds throughput not necessary bad just false advertising,,455,1,0,1,1,1.0,0.2065493143772374,156
65,Adan Montiel,5.0,purchase for hp tablet to have more memory for music download pictures and video have enough room to store and some memory left over,,128,0,0,0,0,0.0,0.0,132
66,Adanna,5.0,can there be anything wrong with a sandisk product the items read to it sooooo quickly i am quite happy,,282,0,0,0,0,0.0,0.0,103
67,adavey,5.0,a lot of people want big memory which is fine but you need to look at speed class this one is class  which is great when your taking pictures or video it will not freeze because it can move the mb s fast enough lesser speed cards will freeze or will say waiting for camera and you will miss the moment its also a sandisk which is a name you can trust when it come to memory cards,,717,0,0,0,0,0.0,0.0,379
68,Adeel Azhari,5.0,fast transfer rates i downloaded about gb of videos form the card to my laptop through a card reader all in about a minute,,519,0,0,0,0,0.0,0.0,122
69,adg44,5.0,there is something to be said about sandisk you plug it in and it just works i ve never had one be doa or any memory issues throughout the years both for my camera and storage products i installed this in my galaxy siii and it recognized it right away and i was able to dump my music onto it speed seems great as well no complaints,,742,0,0,0,0,0.0,0.0,331
70,A discerning buyer,5.0,how do i praise extra memory it fills my mp player with every song my heart desires the sound quality is perfect the ease of use is superb it s great,,475,0,1,1,-1,0.0,0.0,149
71,Adrian,5.0,all though it states gig it only has  gig available but i know that happens and expected it keep this in mind if your wanting more storage you might want to order the gig card it was exactly what i expected and needed so no complaints,,909,0,0,0,0,0.0,0.0,234
72,Adrian,5.0,does the job as advertised if you need extra memory on your phone tablet or whatever device this is bext buy price quality,,67,0,0,0,0,0.0,0.0,122
73,"Adrianne Ayres ""Sabrina""",5.0,needed for my cell phone works perfectly sandisk has never been a disappointment in the  plus years i ve been in it computer work,,357,0,0,0,0,0.0,0.0,129
74,A E D III,5.0,priced right this memory card also reads and writes fast it s a noticeable difference over cheaper cards i put it in my phone and plan to buy another one for my tablet,,393,0,0,0,0,0.0,0.0,167
75,A. Felson,5.0,works great on my sprint htc evo g lte formatted w fat so of course the maximum file size is gb meaning no full length hidef movies however this isn t a problem i bought the card for putting a music library on my phone like all class  micro sdhc cards it does not do mb s but it s closer than any other class  card i ve ever tried most do  mb s kingston gb did mb s this card does about  mb s can t wait till gb and gb cards become available and affordable,,784,1,1,2,0,0.5,0.0945312057342307,456
76,A.Fenderson,5.0,update    my  gb card stopped allowing writes via any of my card readers on a windows pc either when it was inside any of several full size sd card adapters with the write protect tab in either position or plugged directly into the microsd slot of the reader microsd cards have no write protect tab so i was quite surprised and worried by this after failing to find any workable solution by searching online i finally put it in my chromebook and created a new folder on it there then stuck it back in my windows pc and it no longer gave me a write protect error if anyone has a similar problem i d recommend doing something similar by putting it in any other pc laptop camera etc you have available and try writing to it there this portion of my review is necessarily being written as an update to my original review of the  gb version of this card since amazon disallows multiple reviews for what they consider the same item this portion concerns the  gb version of this card i don t need a fast card so the speeds on this card were not that important besides which my test pc is not exactly high end therefore i didn t count off for the speed results i got below using a usb   card adapter but i thought they might be relevant to some readers while the card did reach the class  and or uhs i requirements it came in at under   of the claimed read speeds up to  mb s for fast file transfer then again running on a second pc using a different usb   card reader none of the speeds even hit  mb s so this seems to be highly system dependent i only just got the card this week and so far it works on select sdxc compatible devices and exfat compatible operating systems some sdxc compatible devices such as the panasonic hdc tm do not allow cards larger than  gb for whatever reason this was stated in the manual and i ve confirmed this card is recognized as broken corrupt unusable in that device whereas  gb exfat cards work fine the  gb works fine with original exfat formatting in my toshiba excite   android tablet and predictably not at all in my non sdxc compatible galaxy note  though it possibly would if reformatted to fat since a  gb card in fat works fine there i ll update my review to reflect any problems issues etc that i notice in the coming days weeks crystaldiskmark    c   hiyohiyocrystal dew world url removed as per amazon rules mb s    byte s sata     byte s sequential read   mb ssequential write   mb srandom read kb   mb srandom write kb   mb srandom read kb qd    mb s   iops random write kb qd    mb s   iops random read kb qd    mb s   iops random write kb qd    mb s   iops test  mb g       gb x date      os windows xp professional sp   build  x the following is my original review of the  gb version of this card published april   this is a high quality card i ve used it in a variety of devices through multiple readers on different pcs in an hd camcorder using a micro to full sized sd adapter and i ve never once had a problem with it it even works at full capacity in some microsdhc only devices once its reformatted to fat such as my sandisk clip flac player and supposedly even psps via a proper adapter though i haven t yet tested my psp i keep anticipating someone coming out with a card with equal or better capacity and speeds at a comparable price but i haven t seen one yet if these were cheaper i d have several by now make sure your device can handle micro or full sized sdxc cards or is one of those rare gems that state they support only as high as sdhc but have been tested to work with sdxc cards such as this one once they ve been manually reformatted to fat,,593,3,0,3,3,1.0,0.4385029682449545,3606
77,AF,5.0,works great in the phone and the wife loves it we got a second for her mom and she is storing lots of pictures and videos on it,,169,0,0,0,0,0.0,0.0,127
78,A. Flores,5.0,i loaded this card up with home movies for my samsung galaxy tab  the copy process from computer to card was fast there are no skips in the movie quality and i have plenty of room left to go wish i had bought another for more collections,,682,0,0,0,0,0.0,0.0,237
79,A. Garcia,5.0,bought this for my s and loaded it with  seasons of futurama  full length hd movies several documentaries and a dozen or so  minute comedy shows with plenty of room left over for pictures etc only slight nitpick is when booting up into recovery mode on the s it will not recognize the card wanted to update the phone to the latest version of android and it would not see it had to resort to a gb microsd i had laying around that wasn t a sd card issue but i thought i would throw that in,,497,0,0,0,0,0.0,0.0,487
80,Agean2010,5.0,i purchased this after my wife and i bought our samsung galaxy s to store all the music pictures and videos the s camera is capable of capturing  megapixels photos so the gb microsd that i had will not suffice as a matter of fact i ve already exhausted the remaining space on the card so this gb will allow me to take more photos of our son,,160,0,0,0,0,0.0,0.0,340
81,Aggies82,5.0,great storage has not failed yet after about a year of usage,,161,0,0,0,0,0.0,0.0,60
82,"A. Ghayyath ""AAG""",5.0,since the wife is using it and it is not causing any problems then it must be functioning normally looks good so far,,554,0,0,0,0,0.0,0.0,116
83,A.G.,5.0,class  speeds are the only way to fly and with  gb of usable space i think i should be good for a while,,187,0,0,0,0,0.0,0.0,103
84,"A. Gill ""Measure Twice, Cut Once""",5.0,the subject says it all does what it s supposed to do at a great price when it s on sale buy it,,741,0,0,0,0,0.0,0.0,95
85,A. GONZALEZ MEDINA,5.0,lot of questions about this memory card fitting the samsung galaxy tab    tablet it fits and works no problem at all the only thing is that after installing instead of showing gb available it only shows gb tried formatting the card but with same results have no idea if this is a limit set by the the galaxy tab  tablet or is it just  normal  to buy gb and get less than that as this is surely not a problem coming from the sandisk memory card my rating is a  star excellent price works great and very quick delivery,,294,0,0,0,0,0.0,0.0,516
86,Agustin,5.0,when it comes to any kind of flash storage sandisk has always been my go to brand because they sell quality items and stand by them if there s a problem so as usual no complaints here it works as descried and i haven t have any issues both read and write speeds are right where the specs say they should be,,257,0,0,0,0,0.0,0.0,306
87,Agustin Mangialavori,5.0,high speed high capacity of storage great durability i use in my phone and in my digital camera work very good,,397,0,0,0,0,0.0,0.0,110
88,A. Gutierrez,5.0,this memory helps me to keep all what i want to keep on my cell phone it is a good brand and its on the right price,,231,0,0,0,0,0.0,0.0,115
89,A. Hejazi,4.0,i bought this sd card for my android phone thinking that a class  will be faster and more reliable than others it turns out the difference in class doesn t really matter at least for android phones didn t really worth the price difference,,361,0,0,0,0,0.0,0.0,238
90,A.,5.0,the sandisk gb micro sd class  is a reliable sd card with amazing transfer speeds there is no noticeable lag transfering even the largest raw images to it hadn t had any problem with it,,604,0,0,0,0,0.0,0.0,185
91,ahhsimon,4.0,good card work as describes haven t had any issue with it or going pass metal detectors no lost files or missing files,,189,0,0,0,0,0.0,0.0,118
92,Aileen Nguyen,5.0,bought this to store music on my phone works flawlessly after three months so far no problems in my card reader i average   megabytes read and write to it,,257,0,0,0,0,0.0,0.0,154
93,Airedad,5.0,i m amazed i ordered this from amazon on tuesday morning and it arrived with wednesday s mail very impressive service from amazon as has already been reported the card formats out to  gb and it performs perfectly in my samsung galaxy s iii which is also new using two card readers on a fast pc i transferred everything from my old gb card to the new  gb card in less time than it took to walk to the kitchen and get a cup of coffee so i think the class  rating is correct on the card once i have some experience with the card in the phone i ll benchmark the card and i ll also benchmark operations such as internally backing up my android phone to the card then i ll update this review with some accurate numerical data but in the mean time on first look the person who said that the s  has problems with anything faster than class  may not have been correct a full backup of the phone to the card was significantly faster than the backup with the old gb class  card again no benchmarks yet but once i have them i ll include them here right now i m very happy with this card and i m really impressed both with the card and with the unbelievably quick service from amazon and i m in atlanta where shipments like this one often take the full  days to arrive,,866,15,6,21,9,0.7142857142857143,0.5004361928391441,1255
94,ajb03,5.0,excellent one of the best can t go wrong with this card class  is necessary and shows noticeable but not significant improvements over class,,350,0,0,0,0,0.0,0.0,140
95,ajb,5.0,i bought the gb microsd card at best buy because i needed one for my microsoft surface pro it provides all the space i need and for people who need a lot of space videos quick books picture editing games etc this card is the one for you if you don t need that much space consider buying one for cheaper with a little less memory note be aware that this is a microsdxc format card while most new computers support this format many of the older computers do not this includes all but a few tablets and smartphones before buying this make sure your computer tablet or smartphone is compatible if it is not it will not work period for others who claim that the card doesn t work no matter what they try chances are their machine cannot support microsdxc format,,623,4,0,4,4,1.0,0.5101091635454027,756
96,A.J. Matheson,4.0,i got this because i just couldn t pass up the deal   it has been incredibly fast in my htc sensation g pictures are taken and saved instantaneously only had it a few days but have been very happy shipping was fast and the packaging was easy to open which is always great in my book only issue i had was i had to format it on my computer first before my phone was able to recognize it,,742,0,0,0,0,0.0,0.0,384
97,A.J.O. From California,5.0,you get a lot of storage at a small price the micro sd with adapter class  so it s fast i am happy with this purchase and you will be too i hope this review is helpful,,198,0,0,0,0,0.0,0.0,167
98,A. J. Stavsky,5.0,the ultra micro sdhc was fine once i got it working neither the packaging nor the sansa clip player inform the user that the player needs to be totally off before the microcard is inserted if not the unit will not read the card otherwise love it and the storage for even  gb let alone  is tremendous,,378,0,0,0,0,0.0,0.0,299
99,"AJZ ""~AZ""",5.0,i upgraded to this after the price dropped i originally had a gig sandisk card and it was in my mytouch g i found toward my mytouch g s end of life that space is running low so when i got my galaxy s i bought this card it works flawlessly i highly recommend it now errors what so ever super fast transfer rate,,634,0,0,0,0,0.0,0.0,309
100,ak2012,5.0,this item was priced right and fit right into my cell phone without any issues does what it is suppose to do and i don t know what else i could say being a class  it is suppose to be plenty fast for cell phone use which i am sure speeds up camera use to some degree has worked well and the shipping was fast,,591,0,0,0,0,0.0,0.0,307
101,AK529,4.0,i got this memory card for my samsung galaxy s i was running out of room on my sandisk gb class  micro sd card i also wanted a faster and more durable card i was hopping to put lots of media on it in addition to nandroid backups and custom roms i later found out that since this card is formatted in ex fat it would not work to make nandroid backups or flash custom roms most custom recovery and custom roms dont work with ex fat so my only choice was to format the card to fat  which meant i couldn t put any files larger than gb on it besides that this card is great and very reasonable price of  if your some one who doesn t root their phone or put custom roms nandroid backups or put files larger than gb than this will not affect you this memory card is fast and provides the most storage you can put on your mobile device at this time the card is also water proof shock proof and comes with lifetime warranty ive never had any issues with sandisk memory cards or usb flash drives they last a really long time,,615,1,0,1,1,1.0,0.2065493143772374,1014
102,A. Kaplan,5.0,using the included adaptor on my macbook pro to transfer files i was impressed with the speed of this card,,160,0,0,0,0,0.0,0.0,106
103,"A. Kenneth Webster ""Ken Webster""",5.0,got this to store movies and music on my samsung note iii not much to say about a memory card except that it works as expected,,219,0,0,0,0,0.0,0.0,126
104,A. Kim,5.0,i purchased this version to expand memory on my gb android tablet nothing fancy but it does the job no problems and it played back flawlessly all the files i transferred there are so many different microsd cards out now but if you see this on sale then you might want to consider it instead of cheaper no name brand,,310,0,0,0,0,0.0,0.0,315
105,A. Kinney,5.0,i ve ordered other sd cards before but this one is the best overall shipping was excellent fast and reliable i would recommend it to anyone who is looking for a quality product thanks again,,160,0,0,0,0,0.0,0.0,189
106,akisadr,5.0,i use this for my phone and it works just as it should and it was totally worth the money great place to store pictures and music for phones instead of using the phone memory so it will still run fast,,516,0,0,0,0,0.0,0.0,200
107,Alaa S. AL Sinan,4.0,i bought two of these one for asus infinity and one for samsung galaxy s international version it worked fine with my asus but it didn t work on my phone i formatted this card using the phone the tablet and my laptop but didn t work i did some tests with apps using some apps nothing showed its not working the only way i got it to work is by formatting it in my canon slr camera,,433,0,0,0,0,0.0,0.0,379
108,Alan,2.0,it works but the actual r w speeds are   mb s not even class  it should be marketed as sandisk basic not sandisk ultra unless they mean ultra slow now is  and there is no excuse for such slow card from sandisk update i have redone the test with notepro   instead of using non uhs i pc and the latest results are   mb s since the read speed hits  i believe the device is dhs i ready still underwhelmed by the write speed though,,258,0,0,0,0,0.0,0.0,426
109,Alan,4.0,sandisk ultra  gb microsdhc c uhs memory card with adapter sandisk ultra  gb microsdhc c uhs memory card with adapter works fine,,311,0,0,0,0,0.0,0.0,128
110,Alan Smithee,5.0,great for adding a ton of storage to your smartphone or other device fast enough for most needs and the price is right,,369,0,0,0,0,0.0,0.0,118
111,"Albert C. Marth ""Albert c. Marth""",5.0,you can t possibly go wrong with a san disc product although i purchased this for my son i have used san disc in the past and have never been disappointed,,323,0,0,0,0,0.0,0.0,154
